scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	failures	hierarchy	text
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.6	18.6	1250.3	184.8	1319.7	203.4	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. 잠김
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	18.7	45.2	1115.0	449.5	1290.3	494.8	14.0	ui-image:가방 · icon.resource-tool-set	1			bounds,overflow	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	수색 가방 4/6/한 묶음 최대 2개
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	19.2	19.8	325.6	577.3	955.6	597.1	18.5	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	김씨 입수. 물은 생각보다 차갑고 가방은 생각보다 무겁다.
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	20.7	55.2	28.6	723.0	371.7	778.2	18.1	ui-image:상태 HUD	1			overflow	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · 얕은 연안 수영/허기 70 | 체력 94 | 일광 100
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	21.1	52.4	831.9	671.7	1252.1	724.1	14.5	ui-image:상태 HUD	1			overflow	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 2   돌 1   식량 0   표류물 0/신호대 0/2   도끼 없음   밧줄 없음
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	17.7	25.3	1051.1	49.7	1260.0	75.0	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	ui-info	PASS	17.1	51.7	57.4	38.2	931.5	90.0	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	키보드·마우스 · A/D 이동 · 해안 자동 수영 · Space 점프 · E 수색 · R 귀환/가방 교체 1–4 · Esc 포기 · F1 언어
ko day1 swimming	playmode-ko-day1-swimming-1280x800.png	world-info	PASS	21.7	22.4	901.9	612.3	908.5	634.8	1.4	screenshot-border-median	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/귀환 지점/라벨	CAMP
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	exploration-world	PASS	20.4	21.1	756.2	317.5	854.1	338.6	17.4	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Wood/자원 안내/안내 문구	나무 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	exploration-world	PASS	20.8	50.0	395.7	453.0	541.0	503.1	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	헤엄쳐 수색/식량 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	exploration-world	PASS	20.5	50.0	190.9	335.7	336.2	385.7	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	헤엄쳐 수색/표류물 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	14.9	18.7	1055.4	331.9	1187.3	350.6	2.4	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. 표류물 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	14.9	19.1	1231.4	331.9	1340.7	351.0	6.6	ui-image:가방 1	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. 나무 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	15.2	19.1	1066.3	258.1	1175.5	277.2	6.6	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. 나무 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	14.7	18.7	1218.4	258.1	1352.5	276.8	2.4	ui-image:가방 3	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. 표류물 ×2
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	18.6	18.6	1085.6	184.8	1154.4	203.4	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. 잠김
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	18.6	18.6	1250.3	184.8	1319.7	203.4	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. 잠김
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	18.7	45.2	1115.0	449.5	1290.3	494.8	14.0	ui-image:가방 · icon.resource-tool-set	1			bounds,overflow	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	수색 가방 4/6/한 묶음 최대 2개
